Data_as_of,Region,Office_Name,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Other,NULL,F,N,07/01/2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Aftercare,F,N,07/01/2004,5,0,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Other,Aftercare,M,Y,07/01/2004,8,0,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2004,23,0,0,0,0,0,0,1,8,0,0,14,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2004,4,1,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2004,9,0,0,0,0,0,0,0,4,0,0,5,0,0
06/26/2014,Other,Gen'l Administration,M,Y,07/01/2004,9,0,0,0,0,0,0,0,9,0,0,0,0,0
06/26/2014,Other,Treatment Services,M,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2004,37,3,0,0,0,0,0,3,31,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2004,4,0,0,0,0,0,0,2,2,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2004,103,3,2,0,0,1,0,0,91,0,1,5,0,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2004,17,0,0,0,0,0,0,0,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2004,259,120,55,7,27,5,5,11,14,1,5,0,3,6
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2004,31,5,6,0,2,0,0,1,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2004,258,100,55,6,23,7,4,20,31,3,4,1,0,4
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2004,37,5,3,0,6,0,0,0,23,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2004,35,11,11,1,1,3,0,3,4,0,0,0,0,1
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2004,5,1,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2004,31,9,12,3,2,0,1,1,2,0,1,0,0,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2004,8,3,1,0,0,0,0,0,3,0,0,0,1,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2004,24,10,3,0,2,2,1,0,6,0,0,0,0,0
